trait	wave_feature	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	rg2
act_out_dreams	lead10_level1_energy	-0.1807	0.1592	-1.1353	0.2562	0.0413	0.014	0.9987	0.0085	-0.0007	0.0066	0.03265249
act_out_dreams	lead10_level2_energy	-0.0207	0.1061	-0.1952	0.8453	0.0952	0.0187	1.0069	0.0092	-0.0029	0.0068	0.00042849
act_out_dreams	lead10_level3_energy	0.0371	0.091	0.4074	0.6837	0.1418	0.02	1.0032	0.0093	-0.0042	0.0068	0.00137641
act_out_dreams	lead10_level4_energy	0.0249	0.0912	0.2727	0.7851	0.1286	0.0177	1.0008	0.0089	-0.0026	0.0064	0.0006200099999999999
act_out_dreams	lead10_level5_energy	0.0074	0.0974	0.0765	0.939	0.113	0.0174	1.0182	0.009	0.0021	0.0071	5.4760000000000004e-05
act_out_dreams	lead10_level6_approx_energy	-0.1099	0.1062	-1.0349	0.3007	0.0945	0.0175	1.0196	0.0097	0.0015	0.0071	0.01207801
act_out_dreams	lead10_level6_energy	-0.0162	0.0964	-0.168	0.8666	0.1182	0.0175	1.0154	0.0101	0.0036	0.0073	0.00026243999999999996
act_out_dreams	lead11_level1_energy	0.033	0.1799	0.1833	0.8545	0.0287	0.0149	1.0029	0.009	-0.005	0.0066	0.0010890000000000001
act_out_dreams	lead11_level2_energy	0.0741	0.1058	0.7007	0.4835	0.102	0.0172	0.9961	0.0087	-0.0054	0.007	0.00549081
act_out_dreams	lead11_level3_energy	0.0657	0.0903	0.7271	0.4671	0.1512	0.0193	0.9926	0.0084	-0.0039	0.0071	0.004316489999999999
act_out_dreams	lead11_level4_energy	0.0873	0.0961	0.9088	0.3635	0.1289	0.0181	1.0007	0.0089	-0.0039	0.007	0.00762129
act_out_dreams	lead11_level5_energy	0.0384	0.0958	0.4008	0.6885	0.1379	0.0181	1.01	0.0096	0.0025	0.0075	0.0014745599999999998
act_out_dreams	lead11_level6_approx_energy	-0.061	0.1018	-0.5995	0.5488	0.1071	0.0186	1.0195	0.0112	0.002	0.0072	0.003721
act_out_dreams	lead11_level6_energy	0.0262	0.0883	0.2967	0.7667	0.1596	0.0193	1.0135	0.0108	0.0035	0.0075	0.0006864400000000001
act_out_dreams	lead12_level1_energy	0.0778	0.1672	0.4651	0.6418	0.0365	0.0139	0.9956	0.0092	-0.0025	0.007	0.0060528399999999994
act_out_dreams	lead12_level2_energy	0.0589	0.1126	0.5229	0.601	0.0993	0.0174	0.9936	0.0095	-0.0006	0.0075	0.00346921
act_out_dreams	lead12_level3_energy	0.0649	0.1054	0.616	0.5379	0.1316	0.0212	1.0045	0.0098	-0.0005	0.0078	0.0042120099999999995
act_out_dreams	lead12_level4_energy	0.0943	0.1084	0.8703	0.3842	0.1178	0.021	1.0132	0.0101	-0.0011	0.0075	0.00889249
act_out_dreams	lead12_level5_energy	0.0334	0.0986	0.3388	0.7348	0.1524	0.0213	1.0144	0.0106	0.0061	0.0079	0.00111556
act_out_dreams	lead12_level6_approx_energy	-0.038	0.0998	-0.3812	0.703	0.1258	0.0194	1.0125	0.0116	0.0021	0.0074	0.001444
act_out_dreams	lead12_level6_energy	0.0276	0.0928	0.2974	0.7662	0.1704	0.022	1.0154	0.0113	0.0058	0.0078	0.00076176
act_out_dreams	lead1_level1_energy	-0.0885	0.1121	-0.7893	0.43	0.0692	0.0149	0.9848	0.0093	0.0101	0.007	0.007832249999999999
act_out_dreams	lead1_level2_energy	0.0422	0.0984	0.4286	0.6682	0.0996	0.0163	0.9896	0.0095	0.005	0.0071	0.0017808400000000001
act_out_dreams	lead1_level3_energy	0.0153	0.0728	0.21	0.8337	0.2286	0.0224	0.9756	0.0109	0.0029	0.0067	0.00023408999999999998
act_out_dreams	lead1_level4_energy	-0.007	0.0714	-0.0979	0.922	0.2298	0.0246	0.9823	0.012	0.0055	0.0067	4.9000000000000005e-05
act_out_dreams	lead1_level5_energy	-0.0463	0.069	-0.672	0.5016	0.2582	0.0263	0.9898	0.0126	0.0083	0.0069	0.00214369
act_out_dreams	lead1_level6_approx_energy	-0.0931	0.0828	-1.125	0.2606	0.164	0.0204	0.9979	0.0112	0.0054	0.0067	0.008667610000000001
act_out_dreams	lead1_level6_energy	-0.0471	0.0682	-0.6902	0.49	0.2572	0.0249	0.9905	0.0116	0.0086	0.0067	0.00221841
act_out_dreams	lead2_level1_energy	-0.1987	0.1431	-1.3887	0.1649	0.0495	0.015	0.9897	0.0094	0.0038	0.007	0.03948168999999999
act_out_dreams	lead2_level2_energy	-0.0754	0.1022	-0.7377	0.4607	0.0813	0.0164	0.9899	0.0101	0.0038	0.0066	0.005685159999999999
act_out_dreams	lead2_level3_energy	-0.0377	0.08	-0.4704	0.6381	0.1521	0.0213	0.9974	0.0095	-2.7598e-05	0.0069	0.0014212899999999997
act_out_dreams	lead2_level4_energy	-0.0193	0.0769	-0.2515	0.8014	0.1773	0.023	0.995	0.0102	-0.0003	0.0072	0.00037249000000000006
act_out_dreams	lead2_level5_energy	-0.0614	0.0791	-0.7754	0.4381	0.1956	0.0232	1.0002	0.0099	0.0078	0.0077	0.0037699600000000006
act_out_dreams	lead2_level6_approx_energy	-0.1161	0.0926	-1.254	0.2098	0.1303	0.0186	1.0026	0.0098	0.0045	0.007	0.013479209999999998
act_out_dreams	lead2_level6_energy	-0.0887	0.0805	-1.1027	0.2702	0.1934	0.0235	1.0063	0.0108	0.0113	0.0078	0.00786769
act_out_dreams	lead3_level1_energy	-0.0934	0.1271	-0.7348	0.4625	0.0588	0.0157	0.9852	0.0096	0.0006	0.007	0.00872356
act_out_dreams	lead3_level2_energy	0.0259	0.1103	0.2347	0.8144	0.0789	0.0178	0.9884	0.0095	0.0003	0.0069	0.00067081
act_out_dreams	lead3_level3_energy	0.0668	0.1041	0.6412	0.5214	0.0956	0.0204	0.9805	0.0098	-0.0103	0.0066	0.00446224
act_out_dreams	lead3_level4_energy	0.0473	0.1096	0.4314	0.6662	0.0789	0.0202	0.9858	0.0101	-0.0096	0.0064	0.0022372900000000003
act_out_dreams	lead3_level5_energy	0.0223	0.1226	0.1822	0.8555	0.0637	0.0197	0.9962	0.0099	-0.0065	0.0068	0.0004972900000000001
act_out_dreams	lead3_level6_approx_energy	-0.0405	0.1336	-0.3031	0.7618	0.0506	0.0151	1.001	0.0087	-0.0053	0.0065	0.00164025
act_out_dreams	lead3_level6_energy	0.0016	0.1357	0.0117	0.9907	0.0513	0.0164	1.0029	0.0091	-0.0061	0.0068	2.56e-06
act_out_dreams	lead4_level1_energy	-0.0385	0.14	-0.2751	0.7832	0.0468	0.017	1.0014	0.0098	0.0034	0.0073	0.00148225
act_out_dreams	lead4_level2_energy	0.0446	0.1184	0.3763	0.7067	0.0605	0.0166	1.0072	0.0102	0.0023	0.007	0.0019891600000000002
act_out_dreams	lead4_level3_energy	0.0233	0.0749	0.3116	0.7554	0.1947	0.0253	0.9825	0.0112	0.0005	0.0068	0.0005428900000000001
act_out_dreams	lead4_level4_energy	0.0404	0.0762	0.5302	0.596	0.2104	0.031	0.9828	0.013	-0.0013	0.0071	0.00163216
act_out_dreams	lead4_level5_energy	-0.0251	0.0725	-0.3457	0.7296	0.2482	0.0297	0.9876	0.0119	0.0051	0.0076	0.0006300100000000001
act_out_dreams	lead4_level6_approx_energy	-0.0404	0.0807	-0.5008	0.6165	0.1668	0.0204	0.9996	0.0093	0.0006	0.007	0.00163216
