trait,wave_feature,beta,pval,r2,correlation,n_overlap
depression_score,lead1_level6_approx_energy,-0.09975580492704911,0.48693178257778913,7.23796883583816e-06,-0.002690347344915999,66775
depression_score,lead1_level6_energy,-0.08117078114711379,0.5716127353224196,4.79225374228065e-06,-0.002189121682729081,66775
depression_score,lead1_level5_energy,-0.08379654515850407,0.5592358579505876,5.107314258068207e-06,-0.0022599367820767746,66775
depression_score,lead1_level4_energy,-0.21965839342945542,0.12581695153995745,3.509424955761009e-05,-0.0059240399692390075,66775
depression_score,lead1_level3_energy,-0.18081555648842534,0.20763082227805013,2.3780004855589176e-05,-0.0048764746339712926,66775
depression_score,lead1_level2_energy,-0.16455665459584118,0.25146549065458174,1.9695692427990075e-05,-0.00443798292343924,66775
depression_score,lead1_level1_energy,-0.1620189388816376,0.2588507772658741,1.909290102775074e-05,-0.004369542427782339,66775
depression_score,lead2_level6_approx_energy,-0.07191272324654324,0.6162595472141124,3.761419959169565e-06,-0.0019394380526877716,66775
depression_score,lead2_level6_energy,-0.11276406243433912,0.43195425086947525,9.248723181642937e-06,-0.0030411713503191305,66775
depression_score,lead2_level5_energy,-0.1787912976583011,0.21276454883173393,2.3250543390473943e-05,-0.004821881727092022,66775
depression_score,lead2_level4_energy,-0.24627014947552142,0.08611267412117388,4.4112726601208685e-05,-0.006641741232583467,66775
depression_score,lead2_level3_energy,-0.13748791666047627,0.33798543990558283,1.3748946332214906e-05,-0.0037079571641574394,66775
depression_score,lead2_level2_energy,-0.09412906830666753,0.5118342162472109,6.444479913714218e-06,-0.0025385980212725605,66775
depression_score,lead2_level1_energy,-0.1614164856247237,0.26062589709412637,1.8951174449943764e-05,-0.004353294666347716,66775
depression_score,lead3_level6_approx_energy,-0.05588274379095768,0.6969464377822604,2.2714113788735446e-06,-0.0015071202271844724,66775
depression_score,lead3_level6_energy,-0.12771237103645663,0.3734513116977013,1.186332122471434e-05,-0.0034443172362964153,66775
depression_score,lead3_level5_energy,-0.15786717496733624,0.27125474538810884,1.8126920453553907e-05,-0.004257572131600314,66775
depression_score,lead3_level4_energy,-0.26049681934400654,0.06945960565635305,4.935659649818458e-05,-0.007025425004527008,66775
depression_score,lead3_level3_energy,-0.15972265207622374,0.26566180736118183,1.8555530690522737e-05,-0.004307613108334444,66775
depression_score,lead3_level2_energy,-0.11063300863883924,0.4407066083757697,8.902455275960897e-06,-0.002983698254645278,66775
depression_score,lead3_level1_energy,-0.1820922556037887,0.20443953462902387,2.4117001229950752e-05,-0.004910906355291024,66775
depression_score,lead4_level6_approx_energy,-0.0933355649126953,0.5153987592266489,6.336284590346963e-06,-0.0025171977654105974,66775
depression_score,lead4_level6_energy,-0.12162244525086628,0.396668443580414,1.075889863511037e-05,-0.003280076010635607,66775
depression_score,lead4_level5_energy,-0.16512993850531038,0.2498176706941992,1.9833163524496378e-05,-0.004453444007080947,66775
depression_score,lead4_level4_energy,-0.2640153923075704,0.06577699277855471,5.069893645692769e-05,-0.007120318564228521,66775
depression_score,lead4_level3_energy,-0.19108495043990703,0.18296689040750086,2.6557874992727548e-05,-0.0051534333209516635,66775
depression_score,lead4_level2_energy,-0.15789125197024698,0.27118165768990965,1.813245010440223e-05,-0.004258221472266768,66775
depression_score,lead4_level1_energy,-0.2016642766169998,0.15990118298300296,2.958000888164669e-05,-0.0054387506727825215,66775
depression_score,lead5_level6_approx_energy,-0.09472750745938892,0.5091544669359753,6.526683819618739e-06,-0.002554737525001644,66775
depression_score,lead5_level6_energy,-0.12121852076595552,0.3982385578164688,1.0687553810950767e-05,-0.003269182437411261,66775
depression_score,lead5_level5_energy,-0.1082429335366494,0.450642652576408,8.521959418916758e-06,-0.002919239527556358,66775
depression_score,lead5_level4_energy,-0.2524434171080797,0.07852782113012567,4.635199753155739e-05,-0.0068082301321202385,66775
depression_score,lead5_level3_energy,-0.18685604790500338,0.19284677409100995,2.5395377471482128e-05,-0.005039382647760183,66775
depression_score,lead5_level2_energy,-0.165348683110445,0.24919091437353338,1.988574358491313e-05,-0.004459343402790994,66775
